epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0055,1.89194,3.94628,1.81919,0.89944,0.01598,0.13602,0.05483,1.56501,3.55418,1.62625,0.000543844,0.000543844,0.000543844
2,50.2561,1.6956,2.70876,1.62939,0.54866,0.31391,0.4,0.20918,1.62654,2.75884,1.68695,0.00106323,0.00106323,0.00106323
3,73.8946,1.69755,2.30852,1.65369,0.2763,0.36611,0.24359,0.10674,1.82422,2.78005,1.99517,0.00154594,0.00154594,0.00154594
4,97.3871,1.68834,2.0536,1.66056,0.50941,0.32459,0.34269,0.16314,1.84179,2.51171,1.85597,0.00150197,0.00150197,0.00150197
5,121.371,1.64537,1.77981,1.64514,0.50411,0.50786,0.46757,0.25169,1.66593,1.93073,1.72511,0.00144696,0.00144696,0.00144696
6,144.939,1.62265,1.64986,1.60611,0.61787,0.52165,0.56853,0.30255,1.63835,1.88679,1.62098,0.00139195,0.00139195,0.00139195
7,168.398,1.59735,1.56721,1.58794,0.73339,0.55456,0.6246,0.34868,1.55183,1.58171,1.66281,0.00133693,0.00133693,0.00133693
8,191.88,1.56592,1.49575,1.56878,0.69087,0.59358,0.67804,0.38166,1.49847,1.6669,1.65144,0.00128192,0.00128192,0.00128192
9,215.256,1.54928,1.45899,1.56325,0.71383,0.64135,0.72436,0.39911,1.54409,1.52062,1.67629,0.00122691,0.00122691,0.00122691
10,239.929,1.51839,1.38081,1.53754,0.75884,0.64992,0.73335,0.42063,1.57706,1.29903,1.68564,0.0011719,0.0011719,0.0011719
11,264.131,1.51699,1.35442,1.55045,0.74003,0.63272,0.7266,0.4193,1.47809,1.29935,1.60213,0.00111689,0.00111689,0.00111689
12,287.41,1.48933,1.29,1.52218,0.73806,0.70235,0.75958,0.43308,1.49345,1.21237,1.59311,0.00106188,0.00106188,0.00106188
13,311.078,1.48277,1.24965,1.50342,0.82064,0.6912,0.79551,0.46382,1.48281,1.15562,1.5866,0.00100687,0.00100687,0.00100687
14,334.324,1.46042,1.23914,1.5096,0.72577,0.64958,0.73271,0.42557,1.50556,1.27882,1.59249,0.000951857,0.000951857,0.000951857
15,357.76,1.4554,1.20343,1.49504,0.76086,0.71114,0.78161,0.44226,1.51152,1.18654,1.59269,0.000896846,0.000896846,0.000896846
16,381.352,1.45061,1.18841,1.49124,0.83866,0.715,0.80968,0.46673,1.4624,1.06724,1.55571,0.000841835,0.000841835,0.000841835
17,404.699,1.42425,1.14029,1.47357,0.8398,0.75721,0.843,0.49628,1.4364,1.02332,1.53396,0.000786824,0.000786824,0.000786824
18,428.36,1.43591,1.13035,1.47475,0.77264,0.771,0.83725,0.47848,1.44536,1.04028,1.53486,0.000731813,0.000731813,0.000731813
19,452.125,1.39837,1.12699,1.43302,0.7836,0.74928,0.79804,0.47697,1.43284,1.02634,1.5339,0.000676802,0.000676802,0.000676802
20,475.499,1.36732,1.07724,1.42958,0.80612,0.76661,0.82016,0.49311,1.4567,1.0464,1.55365,0.000621791,0.000621791,0.000621791
21,539.147,1.30722,0.91575,1.42527,0.7666,0.72439,0.78711,0.45429,1.49583,1.1037,1.5793,0.00056678,0.00056678,0.00056678
22,562.7,1.31091,0.88816,1.42106,0.84038,0.78924,0.86706,0.52286,1.40389,0.90764,1.51143,0.000511769,0.000511769,0.000511769
23,586.35,1.27915,0.82893,1.40497,0.79579,0.77923,0.83515,0.48577,1.4434,0.98228,1.53498,0.000456758,0.000456758,0.000456758
24,609.829,1.26709,0.79417,1.40248,0.87601,0.7589,0.86519,0.51954,1.42901,0.92101,1.53677,0.000401747,0.000401747,0.000401747
25,633.285,1.24462,0.77198,1.37891,0.85821,0.77329,0.87293,0.51568,1.44918,0.89477,1.52611,0.000346736,0.000346736,0.000346736
26,656.837,1.22697,0.74683,1.36262,0.87888,0.77387,0.86119,0.52139,1.44368,0.90271,1.53159,0.000291725,0.000291725,0.000291725
27,680.282,1.19383,0.71888,1.34101,0.87463,0.79643,0.87957,0.52968,1.44909,0.8453,1.53635,0.000236714,0.000236714,0.000236714
28,703.739,1.18574,0.69891,1.3329,0.86819,0.809,0.88033,0.53491,1.40894,0.8461,1.49765,0.000181703,0.000181703,0.000181703
29,727.263,1.15494,0.66155,1.31239,0.87796,0.78794,0.8837,0.5345,1.42884,0.85014,1.51277,0.000126692,0.000126692,0.000126692
30,750.74,1.14141,0.64552,1.30634,0.90273,0.78311,0.89171,0.54126,1.42578,0.8433,1.50461,7.1681e-05,7.1681e-05,7.1681e-05
