epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6197,2.10027,4.39289,2.00213,0.0023,0.69997,0.08905,0.03563,1.66829,3.74559,1.66116,0.00038341,0.00038341,0.00038341
2,39.6978,1.62905,2.99021,1.5941,0.00118,0.35186,0.00448,0.00288,1.69637,3.69407,1.79857,0.000767977,0.000767977,0.000767977
3,58.4989,1.64127,2.48512,1.61788,0.27128,0.20042,0.13466,0.06492,1.69331,3.34771,1.99331,0.0011367,0.0011367,0.0011367
4,76.9882,1.65716,2.1983,1.64728,0.55352,0.00466,0.00979,0.00508,2.37598,4.08148,2.38191,0.00148958,0.00148958,0.00148958
5,95.6018,1.67819,1.98056,1.64305,0.25818,0.53095,0.26042,0.11935,1.80757,6.91908,1.91876,0.00153497,0.00153497,0.00153497
6,114.185,1.67774,1.80379,1.65731,0.67422,0.50018,0.54283,0.30734,1.53955,8.32158,1.69314,0.00150197,0.00150197,0.00150197
7,132.269,1.63987,1.68734,1.63969,0.43418,0.3834,0.36009,0.19839,1.75886,2.20048,1.92582,0.00146896,0.00146896,0.00146896
8,150.505,1.54766,1.52417,1.57458,0.5423,0.41934,0.46458,0.24404,1.73254,3.37943,1.84883,0.00143595,0.00143595,0.00143595
9,168.937,1.57114,1.45282,1.57779,0.6106,0.5303,0.53605,0.26415,1.65313,1.7367,1.79449,0.00140295,0.00140295,0.00140295
10,187.34,1.56537,1.4422,1.59461,0.65299,0.52442,0.58007,0.29693,1.76189,1.64945,1.84512,0.00136994,0.00136994,0.00136994
11,205.721,1.57711,1.41692,1.59937,0.63325,0.52976,0.5615,0.31656,1.57068,2.8479,1.72936,0.00133693,0.00133693,0.00133693
12,224.853,1.52701,1.36415,1.55702,0.73072,0.58682,0.62928,0.34938,1.61031,1.5881,1.75764,0.00130393,0.00130393,0.00130393
13,243.521,1.50568,1.29282,1.54921,0.71167,0.62918,0.68952,0.4098,1.4227,1.28842,1.60745,0.00127092,0.00127092,0.00127092
14,261.326,1.49459,1.26964,1.52776,0.77724,0.69432,0.76864,0.43515,1.48599,1.22611,1.61462,0.00123791,0.00123791,0.00123791
15,279.113,1.47525,1.19658,1.50741,0.73604,0.70217,0.75294,0.42509,1.49208,1.29726,1.63688,0.00120491,0.00120491,0.00120491
16,296.954,1.47036,1.22991,1.51244,0.80768,0.67819,0.75671,0.43142,1.50907,1.10455,1.60634,0.0011719,0.0011719,0.0011719
17,314.812,1.45341,1.16114,1.48417,0.73315,0.64127,0.71284,0.36847,1.61555,1.65016,1.7376,0.00113889,0.00113889,0.00113889
