epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,332.73,1.47649,1.18703,1.50067,0.80198,0.71838,0.80501,0.46602,1.47087,1.08325,1.57779,0.00110589,0.00110589,0.00110589
19,350.609,1.40483,1.11344,1.46116,0.79256,0.75861,0.80908,0.46833,1.53915,0.99431,1.62594,0.00107288,0.00107288,0.00107288
20,368.645,1.40942,1.11012,1.45615,0.83238,0.721,0.80924,0.46981,1.50013,1.02467,1.60907,0.00103987,0.00103987,0.00103987
21,386.748,1.41064,1.06501,1.44216,0.83686,0.71831,0.80193,0.452,1.50312,1.06327,1.61552,0.00100687,0.00100687,0.00100687
22,404.683,1.38127,1.05405,1.4402,0.80752,0.72567,0.80066,0.4715,1.50339,1.02483,1.61019,0.000973861,0.000973861,0.000973861
23,422.563,1.39413,1.06019,1.43754,0.83514,0.76382,0.83425,0.49468,1.43211,0.90243,1.56072,0.000940855,0.000940855,0.000940855
24,440.494,1.37545,1.00132,1.44208,0.74854,0.76305,0.78791,0.47067,1.44362,1.00484,1.56235,0.000907848,0.000907848,0.000907848
25,458.428,1.35932,1.00421,1.43099,0.75149,0.75892,0.7892,0.47061,1.46624,1.04112,1.59456,0.000874842,0.000874842,0.000874842
26,476.599,1.37444,1.03201,1.4385,0.8414,0.74524,0.82654,0.47318,1.50878,0.98049,1.59521,0.000841835,0.000841835,0.000841835
27,494.596,1.34807,0.95708,1.41305,0.80489,0.75136,0.82729,0.47575,1.47102,0.97415,1.57479,0.000808828,0.000808828,0.000808828
28,512.816,1.34905,0.97619,1.41619,0.85351,0.78177,0.85267,0.49702,1.4572,0.8782,1.58492,0.000775822,0.000775822,0.000775822
29,530.842,1.30889,0.9234,1.39885,0.86374,0.76614,0.85129,0.5006,1.45213,0.90296,1.58976,0.000742815,0.000742815,0.000742815
30,549.039,1.32155,0.93037,1.40417,0.86345,0.771,0.84549,0.50651,1.43959,0.85961,1.57464,0.000709809,0.000709809,0.000709809
31,567.13,1.33692,0.95581,1.4018,0.81253,0.77057,0.82358,0.48543,1.46387,0.90155,1.58155,0.000676802,0.000676802,0.000676802
32,585.338,1.29123,0.8793,1.36271,0.88516,0.76235,0.85998,0.51055,1.4466,0.84696,1.57141,0.000643795,0.000643795,0.000643795
33,603.511,1.27305,0.86973,1.35874,0.79442,0.81548,0.8607,0.50787,1.47172,0.84777,1.56847,0.000610789,0.000610789,0.000610789
34,621.616,1.2826,0.8704,1.37015,0.83509,0.83461,0.8828,0.51928,1.47205,0.80489,1.57677,0.000577782,0.000577782,0.000577782
35,639.897,1.26273,0.87362,1.3607,0.88667,0.7711,0.86676,0.51463,1.46436,0.83039,1.58319,0.000544776,0.000544776,0.000544776
36,657.945,1.22854,0.8137,1.32501,0.82354,0.84224,0.88195,0.52242,1.47089,0.79391,1.58343,0.000511769,0.000511769,0.000511769
37,675.952,1.24824,0.81455,1.34063,0.83552,0.80301,0.86028,0.51552,1.43838,0.84684,1.54239,0.000478762,0.000478762,0.000478762
38,693.981,1.21886,0.79262,1.32385,0.87139,0.79423,0.87286,0.52227,1.46396,0.78901,1.5838,0.000445756,0.000445756,0.000445756
39,712.138,1.19363,0.77693,1.30772,0.81915,0.82774,0.87412,0.52993,1.48007,0.80787,1.60924,0.000412749,0.000412749,0.000412749
40,730.256,1.20186,0.76952,1.32211,0.84417,0.8121,0.87874,0.52529,1.47546,0.78894,1.58376,0.000379743,0.000379743,0.000379743
41,783.019,1.12808,0.60947,1.33388,0.8371,0.80287,0.86016,0.50236,1.49576,0.82222,1.64035,0.000346736,0.000346736,0.000346736
42,800.805,1.1007,0.57438,1.31856,0.86685,0.82085,0.88428,0.52531,1.47014,0.75891,1.60686,0.000313729,0.000313729,0.000313729
43,818.475,1.06452,0.54232,1.28869,0.85387,0.81624,0.87155,0.52562,1.48216,0.7656,1.64141,0.000280723,0.000280723,0.000280723
44,836.308,1.05494,0.5375,1.26718,0.87447,0.83446,0.89452,0.53439,1.45891,0.75401,1.59115,0.000247716,0.000247716,0.000247716
45,853.985,1.0382,0.52701,1.27192,0.87345,0.85604,0.89134,0.53203,1.46297,0.7326,1.6026,0.00021471,0.00021471,0.00021471
46,871.627,1.02392,0.50895,1.24942,0.84425,0.85535,0.89607,0.54267,1.45391,0.75226,1.6064,0.000181703,0.000181703,0.000181703
47,889.414,0.99916,0.49071,1.23102,0.86468,0.84293,0.89373,0.54139,1.47477,0.73928,1.6121,0.000148696,0.000148696,0.000148696
48,907.266,0.9855,0.48591,1.2351,0.86071,0.82834,0.8882,0.5349,1.47784,0.75649,1.61763,0.00011569,0.00011569,0.00011569
49,925.077,0.9706,0.47881,1.22132,0.85995,0.84317,0.89201,0.5354,1.46087,0.73876,1.614,8.26832e-05,8.26832e-05,8.26832e-05
50,942.908,0.94666,0.46891,1.2019,0.86192,0.84822,0.8888,0.53866,1.46648,0.73724,1.62201,4.96766e-05,4.96766e-05,4.96766e-05
